2025-08-11, Monday, Bench Press, 20, 3, 10
2025-08-11, Monday, Squat, 25, 3, 10
2025-08-11, Monday, Dumbbell Curls, 10, 3, 12
2025-08-11, Monday, Tricep Dips, 0, 3, 12
2025-08-13, Wednesday, Overhead Press, 15, 3, 10
2025-08-13, Wednesday, Deadlift, 30, 3, 8
2025-08-13, Wednesday, Lat Pulldowns, 20, 3, 10
2025-08-13, Wednesday, Planks, 0, 3, 60
2025-08-15, Friday, Bent-Over Rows, 20, 3, 10
2025-08-15, Friday, Lunges, 12.5, 3, 12
2025-08-15, Friday, Tricep Pushdowns, 15, 3, 15
2025-08-15, Friday, Calf Raises, 20, 3, 15
2025-08-18, Monday, Bench Press, 22.5, 3, 8
2025-08-18, Monday, Squat, 27.5, 3, 8
2025-08-18, Monday, Dumbbell Curls, 12.5, 3, 10
2025-08-18, Monday, Tricep Dips, 0, 3, 15
2025-08-20, Wednesday, Overhead Press, 17.5, 3, 8
2025-08-20, Wednesday, Deadlift, 35, 3, 6
2025-08-20, Wednesday, Lat Pulldowns, 22.5, 3, 8
2025-08-20, Wednesday, Planks, 0, 3, 75
2025-08-22, Friday, Bent-Over Rows, 22.5, 3, 8
2025-08-22, Friday, Lunges, 15, 3, 10
2025-08-22, Friday, Tricep Pushdowns, 17.5, 3, 12
2025-08-22, Friday, Calf Raises, 22.5, 3, 12
2025-08-25, Monday, Bench Press, 25, 3, 6
2025-08-25, Monday, Squat, 30, 3, 6
2025-08-25, Monday, Dumbbell Curls, 15, 3, 8
2025-08-25, Monday, Tricep Dips, 0, 3, 18
2025-08-27, Wednesday, Overhead Press, 20, 3, 6
2025-08-27, Wednesday, Deadlift, 40, 3, 5
2025-08-27, Wednesday, Lat Pulldowns, 25, 3, 6
2025-08-27, Wednesday, Planks, 0, 3, 90
2025-08-29, Friday, Bent-Over Rows, 25, 3, 6
2025-08-29, Friday, Lunges, 17.5, 3, 8
2025-08-29, Friday, Tricep Pushdowns, 20, 3, 10
2025-08-29, Friday, Calf Raises, 25, 3, 10
2025-09-01, Monday, Bench Press, 27.5, 3, 5
2025-09-01, Monday, Squat, 32.5, 3, 5
2025-09-01, Monday, Dumbbell Curls, 17.5, 3, 6
2025-09-01, Monday, Tricep Dips, 0, 3, 20
2025-09-03, Wednesday, Overhead Press, 22.5, 3, 5
2025-09-03, Wednesday, Deadlift, 45, 3, 3
2025-09-03, Wednesday, Lat Pulldowns, 27.5, 3, 5
2025-09-03, Wednesday, Planks, 0, 3, 120
2025-09-05, Friday, Bent-Over Rows, 27.5, 3, 5
2025-09-05, Friday, Lunges, 20, 3, 6
2025-09-05, Friday, Tricep Pushdowns, 22.5, 3, 8
2025-09-05, Friday, Calf Raises, 27.5, 3, 8
2025-09-05, Friday, Abs Rollout, 0, 3, 10
2025-09-05, Friday, Leg Press, 50, 3, 12
